v_drive [km/h]	stg	PKW	LNF	LKW	LSZ	RB	SB	MR-2T	MR-4T	KKR	Free
75	-15	-1.08291055	-1.013495635	-1.158666699	-1.314369133	-1.252568063	-1.139358642	-0.411248066	-0.411248066	-0.080071102	0
75	-10	-0.598936451	-0.534478578	-0.668762498	-0.824380658	-0.762712171	-0.669295203	-0.184146132	-0.184146132	-0.037507966	0
75	-6	-0.245886353	-0.202341857	-0.279555419	-0.433278234	-0.372529436	-0.297296363	-0.100222637	-0.100222637	-0.020896008	0
75	-4	-0.121502517	-0.102462985	-0.099857445	-0.240675651	-0.183654297	-0.133003721	-0.075165498	-0.075165498	-0.015127666	0
75	-2	-0.062803124	-0.056344947	-0.018869838	-0.069885009	-0.041380707	-0.044785902	-0.054488466	-0.054488466	0	0
75	0	-0.036052167	-0.033645229	-0.005953456	-0.012742683	-0.009724215	-0.023895181	-0.041144948	-0.041144948	0	0
75	2	-0.022724207	-0.021980325	-0.002396884	-0.003738935	-0.003440548	-0.016208722	-0.03038304	-0.03038304	0	0
75	4	-0.015589213	-0.015070701	-0.001013763	0	-0.000700922	0	-0.023439041	-0.023439041	0	0
75	6	-0.01084753	-0.01056256	-0.000157691	0	-0.000267235	0	-0.015754336	-0.015754336	0	0
75	10	-0.005152759	-0.004843395	0	0	0	0	0	0	0	0
75	15	-0.001602096	-0.001105236	0	0	0	0	0	0	0	0
75	20	-0.00057514	0	0	0	0	0	0	0	0	0
80	-20	-1.561880404	-1.477326268	-1.636873025	-1.800638488	-1.740397015	-1.64890686	-0.729997586	-0.729997586	-0.300271234	0
80	-15	-1.072809938	-0.989262478	-1.146373025	-1.310138488	-1.249897015	-1.164853494	-0.365608724	-0.365608724	0	0
80	-10	-0.588250284	-0.50920723	-0.655919188	-0.81964319	-0.759559643	-0.681029197	-0.164416476	-0.164416476	0	0
80	-6	-0.231494004	-0.17813121	-0.265182395	-0.42766611	-0.368500253	-0.295593776	-0.091370093	-0.091370093	0	0
80	-4	-0.10833183	-0.086042014	-0.081933417	-0.233561275	-0.17873088	-0.114160718	-0.06837811	-0.06837811	0	0
80	-2	-0.053711723	-0.046532837	-0.011793023	-0.057329297	-0.037640328	-0.021972034	-0.047611885	-0.047611885	0	0
80	0	-0.031047152	-0.028509792	-0.003497778	-0.008049346	-0.007591984	-0.01317497	-0.035441965	-0.035441965	0	0
80	2	-0.020543399	-0.019488297	-0.001288524	-0.002053546	-0.002388758	-0.005372288	-0.025626952	-0.025626952	0	0
80	4	-0.014546634	-0.013850062	-0.000424141	0	0	0	-0.017609832	-0.017609832	0	0
80	6	-0.010362597	-0.010022797	0	0	-0.00025451	0	-0.011378564	-0.011378564	0	0
80	10	-0.005077515	-0.003735942	0	0	0	0	0	0	0	0
80	15	-0.001661383	0	0	0	0	0	0	0	0	0
80	20	0	0	0	0	0	0	0	0	0	0
85	-20	-1.549519227	-1.453490989	-1.619929873	-1.793773425	-1.732927937	-1.655651135	-0.660892065	-0.660892065	-0.187144815	0
85	-15	-1.060317286	-0.964886381	-1.129429873	-1.303273425	-1.242427937	-1.168832837	-0.314100924	-0.314100924	0	0
